"FR","Gender","Departmnet","Record_id","State","S_D_E","RO_F_EG","Deadline_today","Workload_today","Workplace","RS","TW_W_H","TW_Research","Break","Email","funding_proposal","NP","FA","Success","Com_Proposal","L_Of_SR","W_WB_PD","T","DS","refereed_conference","A_N_Conf_Pap","core_rank","if_you_submit_manuscripts","far_in_advance_do_you","length_of_supp","in_the_week_leading_to_a_c","you_typically_subm","ss_level_in_a_fundi","Comments"
"Professor","Male","Physics",592,"West","Three months","50-75%","Yes","Standard","Office","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","30-50%","> 2 months","6-12 months","More","T2","More","Yes","5-6","A","75-90%","1-2 months","6-12 months","More","1 day before","More","I'd be interested in the positive elements of deadlines .. i.e. dedicating time and constraints which might allow finishing.."
"Professor","Male","Chemistry",593,"Midwest","Other","50-75%","Yes","Standard","Other","RS2","> 50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NSF","10-20%","> 2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",595,"West","Three months","75-100%","No","Standard","Home","RS1","> 50",60,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","20-30%","> 2 months","3-6 months","More","T2","About the same","No","","","","","","",NA,NA,"I have excellent staff support for preparing and submitting.  This greatly lowers my stress level."
"Assistant Professor","Female","Geosciences",597,"South","Three months","50-75%","No","Light","Office","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","20-30%","> 2 months","1-3 months","Significantly more","T2","More","No","","","","","","",NA,NA,"The proposal must be finished and sent to sponsored research 3-5 days before the agency deadline - so there are really two deadlines to consider. "
"Professor","Male","Chemistry",598,"West","Other","Not funded","No","Light","Home","RS1","> 50",20,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","30-50%","> 2 months","6-12 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Psychology",599,"West","Other","50-75%","Yes","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","10-20%","> 2 months","> 12 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Chemistry",600,"West","Three months","50-75%","Yes","Standard","Home","RS2","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","20-30%","> 2 months","3-6 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Engineering",601,"East","Three months","Not funded","No","Heavy","Office","RS1","> 50",60,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","1-2 months","1-3 months","Significantly less","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",602,"East","Other","Fully funded","Yes","Heavy","Home","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","> 2 months","3-6 months","Significantly more","T1","More","No","","","","","","",NA,NA,"NSF is the worst agency to write proposals for (no experience with NIH). The NSF system is very rigid, the reviews are random and the paperwork is much more than any DoD agency we dealt with.  deadlines make all of this much worse."
"Assistant Professor","Female","Geosciences",604,"West","Three months","Fully funded","Yes","Heavy","Office","RS2","> 50",10,"Other","Reply Once/Twice","Yes","NP3","Other","20-30%","> 2 months","1-3 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"It's incredibly frustrating to spend so much time on something that has so little chance of success. The constant need to chase after the next grant to support myself or my students take significant time away from publishing additional articles on past grants, as well as strongly discouraging truly innovative research ideas. If an idea deviates substantially from the natural ""next step"" on a topic, I know it has exactly 0% chance of success. It also strongly discourages me from applying to other agencies, since I know I'm not part of the ""old boys"" club, which is alive and well. The increase in amount of administration and forms disproportionately advantages researchers from top tier universities (including mine), which provide substantial administrative support in submission and management of grants. If I was at a lower tier university, there is no chance that I could submit and manage as many grants as I do currently. This is a fantastically effective way to squash diversity, by raising the status bar for individuals who can submit grants. My last grant to support one student for three years was over 225 pages long - and funding rates hover around 15%. What a tremendous waste of intellectual resources to spend hours and hours compiling CVs, C&Ps, COAs, and all the other required forms. It also strongly benefits senior personnel who have administrative staff that can maintain these resources for them. Some forms are obviously necessary, but why not refer reviewers to ORCIDs and google scholar or web of science profiles? Also, each agency has their own forms, so they aren't transferable. I submit to NIJ, NSF, NASA, as well as philanthropic foundations. Rolling deadlines would be better, since proposals are more likely to be submitted when they're truly ready, instead of when they're due. "
"Associate Professor","Female","Engineering",605,"East","Three months","75-100%","No","Light","Home","RS2","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","1-2 months","1-3 months","Significantly more","T1","About the same","No","","","","","","",NA,NA,"Deadlines help me limit the time I work on proposals and help me get things done. Although I work to deadlines, I find them helpful, because it is otherwise easy to let teaching and service tasks with deadlines take priority over writing proposals."
"Professor","Female","Vision Science",607,"South","Three months","25-50%","No","Standard","Office","RS1","> 50",20,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","30-50%","1-2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,"function better than usual for the most part"
"Professor","Female","Psychology",609,"South","Three months","Not funded","No","Light","Home","RS2","< 30",10,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NSF","20-30%","> 2 months","> 12 months","More","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Computer Science",610,"South","Three months","Not funded","No","Standard","Home","RS1","40-50",60,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","> 12 months","Significantly more","T1","About the same","Yes","3-4","A*","20-30%","1-2 months","> 12 months","More","1-3 hours before","About the same",""
"Professor","Male","Computer Science",613,"West","Three months","Fully funded","Yes","Standard","Home","RS1","40-50",60,"Every 1-2 hours","Reply instantly","Yes","NP1","DOE","75-90%","1-2 months","> 12 months","More","T1","About the same","Yes","1-2","A","> 90%","1-2 months","3-6 months","About the same","Minutes before","About the same","Applying for funding does have some enjoyable aspects."
"Assistant Professor","Female","Physics",614,"West","Three months","50-75%","No","Standard","Other","RS1","40-50",40,"Other","Reply instantly","Yes","NP1","NSF","10-20%","1-2 months","3-6 months","About the same","T2","More","No","","","","","","",NA,NA,"I do not like doing things last minute, so grant deadlines are typically built in as work over an extended period of time in advance of the deadline.  "
"Associate Professor","Male","Physics",615,"West","Three months","Fully funded","Yes","Standard","Office","RS2","> 50",60,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NSF","50-75%","1-2 months","1-3 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Associate Professor","Female","Mathematics",616,"East","Three months","Not funded","No","Standard","Office","RS2","40-50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","Other","10-20%","1-2 months","6-12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Engineering",617,"West","Three months","Fully funded","Yes","Standard","Office","RS1","> 50",50,"Other","Reply instantly","Yes","NP3","NSF","20-30%","> 2 months","6-12 months","Significantly more","T1","Significantly more","Yes","5-6","B","50-75%","> 2 months","> 12 months","Significantly more","3-6 hours before","Significantly more","Collaborators are not respectful of my family obligations and expect that I can drop everything at the last minute to accommodate the proposal's needs."
"Professor","Male","Psychology",619,"West","Three months","1-25%","No","Light","Other","RS1","30-40",30,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NIH","30-50%","> 2 months","> 12 months","About the same","T2","About the same","No","","","","","","",NA,NA,"Deadlines are a regular part of academic life. If they are stressful, perhaps the problem is with the individual and not the deadline."
"Professor","Male","Biology",621,"East","Two months","Fully funded","No","Heavy","Home","RS2","40-50",60,"Every hour","Reply instantly","Yes","NP1","NSF","30-50%","> 2 months","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Computer Science",622,"East","Three months","25-50%","Yes","Heavy","Home","RS2","40-50",60,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","2-4 weeks","> 12 months","Significantly more","T1","Significantly more","Yes","5-6","A","20-30%","2-4 weeks","6-12 months","More","Minutes before","More",""
"Associate Professor","Female","Physics",623,"West","Three months","75-100%","Yes","Standard","Office","RS2","40-50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","NSF","10-20%","2-4 weeks","> 12 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",624,"South","Three months","25-50%","Yes","Light","Home","RS1","> 50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","2-4 weeks","1-3 months","Significantly more","T2","Significantly more","Yes","1-2","B","75-90%","1-2 months","> 12 months","More","1 day before","More",""
"Associate Professor","Male","Engineering",626,"Midwest","Three months","75-100%","Yes","Heavy","Home","RS2","> 50",60,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","1-2 months","6-12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Professor","Male","Computer Science",627,"East","Three months","50-75%","Yes","Heavy","Office","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","1-2 months","6-12 months","More","T1","More","Yes",">= 10","A*","50-75%","> 2 months","> 12 months","Significantly more","1-3 hours before","More","The deadlines help to plan, and provide a good excuse to prioritize proposal writing over day-to-day work, esp. administrative. However, high-stakes deadlines (once in a year) are harmful, especially for junior faculty.   These can easily conflict with other hard deadlines (conference submissions, exams etc)  An optimal spacing  for me seems to be ~ 2-3 options to submit per year. "
"Professor","Male","Computer Science",629,"South","Three months","Not funded","No","Heavy","Office","RS2","40-50",20,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","10-20%","1-2 months","> 12 months","Significantly more","T1","More","Yes","1-2","A","50-75%","> 2 months","> 12 months","Significantly more","1-3 hours before","More",""
"Professor","Male","Chemistry",634,"Midwest","Other","25-50%","No","Standard","Office","RS1","> 50",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","< 10%","> 2 months","3-6 months","About the same","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Applied Math",635,"Midwest","Three months","75-100%","No","Standard","Home","RS1","40-50",10,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","30-50%","1-2 months","1-3 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Engineering",637,"Midwest","Three months","Not funded","No","Light","Home","RS1","40-50",70,"Other","Reply Once/Twice","Yes","NP3","NSF","< 10%","> 2 months","> 12 months","More","T2","About the same","Yes","1-2","A","50-75%","2-4 weeks","6-12 months","Significantly more","1-3 hours before","More","The answers I've provided are regarding a typical proposal submission process. But not all the submissions are typical. Sometimes things go wrong, significantly increasing stress in the last week or day of the submission."
"Professor","Female","Computer Science",638,"West","Other","Fully funded","Yes","Heavy","Office","RS1","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","DOD","75-90%","1-2 months","6-12 months","Significantly more","T1","Significantly more","Yes","5-6","A*","75-90%","1-2 months","6-12 months","More","3-6 hours before","More",""
"Assistant Professor","Female","Biology",642,"South","Three months","Fully funded","Yes","Heavy","Office","RS2","40-50",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","> 2 months","> 12 months","Significantly more","T2","Significantly more","No","","","","","","",NA,NA,"Mentoring and production of manuscripts are also dramatically affected by deadlines."
"Associate Professor","Male","Psychology",643,"East","Three months","75-100%","Yes","Heavy","Home","RS1","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP3","NIH","< 10%","1-2 months","6-12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Assistant Professor","Male","Engineering",644,"East","Other","Fully funded","Yes","Heavy","Home","RS1","> 50",70,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","10-20%","1-2 weeks","3-6 months","Significantly more","T1","More","Yes","5-6","A","20-30%","2-4 weeks","6-12 months","Significantly more","Minutes before","Significantly more","NSF, DoE should stop setting proposal deadlines at the end of institutional holidays. They systematically ruin the lives of faculties and those of their families!"
"Associate Professor","Female","Psychology",645,"East","Other","1-25%","Yes","Heavy","Home","RS1","40-50",50,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","< 10%","> 2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Male","Psychology",646,"East","Two months","50-75%","No","Standard","Home","RS2","40-50",60,"Every hour","Reply instantly","Yes","NP1","NSF","20-30%","> 2 months","3-6 months","More","T2","More","No","","","","","","",NA,NA,""
"Associate Professor","Female","Psychology",647,"East","Three months","Fully funded","No","Standard","Home","RS2","30-40",60,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","> 90%","> 2 months","6-12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,"My university has internal deadlines significantly earlier (weeks earlier) than the proposal deadlines. This moves the time required much earlier. The stress closer to the deadline comes from determining whether my research administration has correctly submitted everything."
"Professor","Female","Physics",650,"West","Other","Not funded","Yes","Light","Home","RS1","40-50",10,"Every 3-4 hours","Reply instantly","Yes","NP1","Other","< 10%","> 2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"Having a process for year round submission at any time would significantly ease the stress"
"Associate Professor","Male","Engineering",651,"East","Three months","1-25%","Yes","Heavy","Home","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","20-30%","1-2 months","1-3 months","Significantly more","T2","More","Yes","5-6","A*","75-90%","1-2 months","3-6 months","More","1-3 hours before","More",""
"Associate Professor","Female","Psychology",653,"South","Three months","1-25%","Yes","Heavy","Home","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","NIH","< 10%","1-2 months","1-3 months","Significantly more","T1","Significantly more","Yes","1-2","A","50-75%","2-4 weeks","1-3 months","About the same","3-6 hours before","More",""
"Professor","Female","Engineering",654,"East","Three months","25-50%","No","Standard","Office","RS2","> 50",10,"Other","Reply Once/Twice","Yes","NP2","NSF","< 10%","1-2 months","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"The new rolling proposal deadlines are great."
"Assistant Professor","Female","Computer Science",655,"South","Three months","1-25%","Yes","Heavy","Office","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP2","DOD","< 10%","> 2 months","> 12 months","Significantly more","T1","Significantly more","Yes","5-6","A","10-20%","> 2 months","> 12 months","Significantly more","3-6 hours before","Significantly more","Each proposal takes months and years to develop, but the evaluation gives one parameter back: competitive or not.  There are helpful review comments but sometime  they are inconsistent from year to year.  Working with the deadlines means dealing with the uncertainty and the high rejection rate. "
"Professor","Female","Computer Science",656,"South","Three months","75-100%","Yes","Heavy","Home","RS1","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","10-20%","> 2 months","6-12 months","Significantly more","T1","More","Yes","1-2","A*","30-50%","1-2 weeks","3-6 months","About the same","1-3 hours before","About the same","I prefer to get things done early and my co-PIs are often deadline oriented and it really stresses me out to deal with how late their stuff comes in!"
"Associate Professor","Male","Engineering",657,"West","Three months","Fully funded","Yes","Heavy","Home","RS1","> 50",70,"Other","Reply instantly","Yes","NP3","NSF","10-20%","1-2 months","1-3 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Female","Engineering",660,"West","Other","Fully funded","Yes","Heavy","Home","RS2","> 50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","10-20%","> 2 months","1-3 months","Significantly more","T2","About the same","Yes",">= 10","B","> 90%","2-4 weeks","6-12 months","About the same","1 day before","About the same","I love the new flexible deadlines that NSF has for many of its programs. But many of the other programs still have deadlines, and these are usually the more complicated programs anyway, involving larger groups, and these take more time to prepare and are usually not ready to go until the very end. "
"Professor","Female","Mathematics",661,"Midwest","Other","25-50%","No","Heavy","Office","RS2","30-40",40,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","10-20%","> 2 months","6-12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Engineering",663,"Midwest","Three months","Fully funded","Yes","Standard","Office","RS1","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP3","DOD","50-75%","1-2 months","> 12 months","Significantly more","T1","More","Yes","3-4","A","75-90%","1-2 weeks","1-3 months","More","Minutes before","More","Often the time compression is related to how much time the solicitation allows for proposal submission.  Frequently, this is only one month for many agencies."
"Professor","Male","Engineering",664,"East","Other","75-100%","No","Heavy","Office","RS1","40-50",30,"Every 1-2 hours","Reply instantly","Yes","NP3","DOE","20-30%","1-2 months","> 12 months","More","T2","Significantly less","Yes","7-9","A*","> 90%","1-2 months","> 12 months","About the same","1 day before","Significantly less","It is a personal choice on how one resonds to deadlines."
"Assistant Professor","Female","Computer Science",667,"East","Three months","1-25%","No","Standard","Home","RS1","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","< 10%","2-4 weeks","< 1 month","Significantly more","T2","More","Yes","5-6","A","20-30%","> 2 months","3-6 months","More","3-6 hours before","About the same",""
"Professor","Male","Engineering",668,"South","Three months","75-100%","Yes","Heavy","Home","RS1","40-50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP1","Other","75-90%","> 2 months","6-12 months","Significantly more","T2","More","Yes","3-4","A*","> 90%","> 2 months","> 12 months","More","1 day before","More",""
"Associate Professor","Female","Computer Science",669,"South","Three months","Fully funded","No","Standard","Office","RS2","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","50-75%","> 2 months","6-12 months","Significantly more","T2","Significantly less","Yes","1-2","A","75-90%","1-2 months","6-12 months","Significantly more","1 day before","Significantly less",""
"Assistant Professor","Female","Biology",670,"East","Three months","75-100%","Yes","Standard","Office","RS2","> 50",50,"Every hour","Reply instantly","Yes","NP1","NIH","10-20%","> 2 months","3-6 months","Significantly more","T1","More","No","","","","","","",NA,NA,"As stressful as deadlines are, I am 100% motivated by them and would not be as productive if left to my own devices.  I am in favor of deadlines!"
"Assistant Professor","Male","Engineering",671,"Midwest","Three months","1-25%","Yes","Heavy","Home","RS1","> 50",70,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","1-2 months","1-3 months","Significantly more","T2","More","Yes","7-9","A","> 90%","1-2 months","< 1 month","More","3-6 hours before","About the same","Most universities want the proposal ready sooner so that they can submit on time."
"Professor","Male","Engineering",675,"East","Three months","75-100%","Yes","Heavy","Home","RS1","> 50",50,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","20-30%","1-2 months","< 1 month","More","T1","About the same","Yes",">= 10","A","30-50%","1-2 weeks","3-6 months","More","1-3 hours before","About the same",""
"Professor","Male","Engineering",677,"Midwest","Three months","75-100%","Yes","Standard","Home","RS2","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NIH","10-20%","1-2 months","3-6 months","More","T2","More","Yes","7-9","A","75-90%","1-2 months","6-12 months","About the same","1-3 hours before","About the same",""
"Assistant Professor","Male","Engineering",678,"Midwest","Three months","75-100%","No","Heavy","Office","RS1","> 50",20,"Every 1-2 hours","Reply instantly","Yes","NP2","DOD","20-30%","2-4 weeks","3-6 months","More","T1","More","Yes","1-2","A*","75-90%","1-2 months","< 1 month","More","1-3 hours before","More","I never have enough time. Teaching is time sink that holds me back."
"Professor","Male","Chemistry",680,"Midwest","Other","1-25%","No","Light","Office","RS2","30-40",100,"Every 1-2 hours","Reply instantly","Yes","NP1","NIH","30-50%","> 2 months","6-12 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Biology",681,"East","Three months","Not funded","No","Standard","Home","RS2","> 50",30,"Every 3-4 hours","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","1-3 months","Less","T1","Significantly more","No","","","","","","",NA,NA,"Having deadlines can help with accountability but most of the stress comes from making sure that my university's grants office can get their tasks completed on time. Especially during the pandemic, it was extra stressful to be submitting a grant proposal when important staff members had been laid off or forced to reapply for their jobs and, thus, had limited capacities to be working on our grant submissions."
"Associate Professor","Male","Computer Science",683,"South","Three months","25-50%","No","Light","Office","RS1","30-40",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","3-6 months","More","T1","More","Yes","3-4","A*","< 10%","> 2 months","3-6 months","Significantly more","1-3 hours before","Significantly more",""
"Associate Professor","Male","Computer Science",684,"East","Three months","50-75%","No","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","20-30%","1-2 months","6-12 months","Significantly more","T1","Significantly more","Yes","3-4","A*","20-30%","1-2 months","6-12 months","Significantly more","1-3 hours before","Significantly more",""
"Associate Professor","Male","Communication Studies",685,"Midwest","Other","1-25%","No","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP1","NSF","50-75%","> 2 months","1-3 months","About the same","T2","About the same","Yes","1-2","A","50-75%","> 2 months","6-12 months","About the same","3-6 hours before","About the same",""
"Professor","Female","Engineering",686,"Midwest","Three months","75-100%","No","Standard","Home","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","10-20%","> 2 months","1-3 months","More","T2","Significantly more","No","","","","","","",NA,NA,"The stress of deadlines drives me to submissions which do not have deadlines. The quality of the proposals is also higher. But the stress in this case lingers."
"Professor","Female","Medicine",687,"Midwest","Other","Fully funded","Yes","Standard","Office","RS2","> 50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NIH","50-75%","> 2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,"None  "
"Professor","Male","Medicine",688,"Midwest","Other","25-50%","No","Standard","Office","RS1","40-50",60,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","10-20%","> 2 months","> 12 months","More","T2","Significantly more","No","","","","","","",NA,NA,""
"Associate Professor","Female","Engineering",689,"Midwest","Three months","75-100%","Yes","Standard","Home","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","1-2 months","3-6 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Psychology",692,"East","Three months","75-100%","Yes","Standard","Home","RS2","> 50",60,"Every 1-2 hours","Reply instantly","Yes","NP2","DOD","30-50%","1-2 months","3-6 months","More","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Engineering",693,"Midwest","Three months","1-25%","Yes","Heavy","Office","RS1","> 50",40,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","2-4 weeks","1-3 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Associate Professor","Female","Biology",696,"South","Three months","Fully funded","No","Standard","Home","RS2","> 50",60,"Every 1-2 hours","Reply Once/Twice","Yes","NP1","NSF","20-30%","> 2 months","> 12 months","More","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Computer Science",698,"East","Three months","75-100%","Yes","Standard","Home","RS2","> 50",40,"Every 1-2 hours","Reply instantly","Yes","NP3","NSF","30-50%","1-2 months","6-12 months","More","T2","About the same","Yes","7-9","A","30-50%","2-4 weeks","6-12 months","More","Minutes before","About the same",""
"Associate Professor","Male","Mathematics",699,"East","Other","Not funded","No","Heavy","Office","RS2","40-50",50,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","20-30%","2-4 weeks","< 1 month","More","T1","About the same","Yes","3-4","A*","< 10%","> 2 months","> 12 months","Significantly more","3-6 hours before","About the same","The questions don't really make sense in my case. I don't think the questionnaire was thought through well."
"Assistant Professor","Male","Biology",700,"Midwest","Three months","50-75%","No","Standard","Home","RS2","40-50",20,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","< 10%","> 2 months","3-6 months","More","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Psychology",111,"South","Three months","50-75%","Yes","Standard","Home","RS2","40-50",40,"Every 1-2 hours","Reply instantly","Yes","NP2","NIH","20-30%","> 2 months","3-6 months","Significantly more","T1","More","No","","","","","","",NA,NA,""
"Professor","Male","Pharmacy ",120,"South","Three months","Fully funded","Yes","Heavy","Office","RS1","> 50",70,"Every 3-4 hours","Reply instantly","Yes","NP3","NIH","< 10%","> 2 months","> 12 months","Significantly more","T2","About the same","Yes","3-4","A","20-30%","2-4 weeks","6-12 months","About the same","2 or more days before","About the same",""
"Associate Professor","Male","Psychology",129,"South","Three months","50-75%","No","Standard","Office","RS2","> 50",60,"Every 3-4 hours","Reply instantly","Yes","NP1","NIH","< 10%","> 2 months","> 12 months","Significantly more","T2","More","No","","","","","","",NA,NA,""
"Professor","Male","Political Science",148,"South","Three months","50-75%","No","Standard","Home","RS2","40-50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","Other","30-50%","2-4 weeks","3-6 months","About the same","T2","About the same","No","","","","","","",NA,NA,""
"Assistant Professor","Female","Biology",154,"South","Other","75-100%","No","Light","Office","RS1","< 30",0,"Every hour","Reply instantly","Yes","NP1","NSF","< 10%","< 1 week","< 1 month","Significantly less","T1","Significantly less","Yes","3-4","A","< 10%","< 1 week","< 1 month","Significantly less","Minutes before","Significantly less",""
"Associate Professor","Male","Physics",161,"West","Three months","50-75%","No","Heavy","Home","RS2","> 50",30,"Every 1-2 hours","Reply instantly","Yes","NP2","NSF","30-50%","> 2 months","> 12 months","About the same","T2","Less","No","","","","","","",NA,NA,"Deadlines are very useful."
"Assistant Professor","Female","Chemistry",194,"Midwest","Three months","50-75%","Yes","Standard","Home","RS1","40-50",60,"Every 3-4 hours","Reply instantly","Yes","NP3","NIH","10-20%","> 2 months","1-3 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Male","Biology",233,"South","Three months","25-50%","No","Standard","Office","RS1","40-50",30,"Every 3-4 hours","Reply Once/Twice","Yes","NP2","NIH","20-30%","1-2 months","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,""
"Associate Professor","Male","Engineering",246,"South","Three months","75-100%","No","Heavy","Home","RS2","40-50",70,"Every 1-2 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","2-4 weeks","> 12 months","Significantly more","T1","Less","Yes","3-4","A","50-75%","2-4 weeks","6-12 months","About the same","1-3 hours before","About the same","Day of submission is typically waiting for final approvals, so that is the day I start getting caught up on everything else.  I typically put any non-urgent items on hold for the week or two before submitting and then spend the following week getting caught up.  Also, in regards to email, I sometimes respond right away if the email is quick and will help someone else continue working.  I go through email about twice per day to do medium size tasks, but the big tasks tend to get left for several days so I can schedule time to take care of it.  I generally think proposal deadlines are good because it give you a point in time to aim for.  Without deadlines, it is easy to push them off and it generally takes more time to actually complete it.  This is similar to students submitting journals (takes longer with no deadlines) compared to conferences (which have deadlines)."
"Professor","Male","Engineering",347,"West","Three months","75-100%","No","Standard","Home","RS1","30-40",50,"Every 1-2 hours","Reply Once/Twice","Yes","NP2","NASA","20-30%","2-4 weeks","1-3 months","More","T1","About the same","Yes","5-6","A","20-30%","1-2 months","3-6 months","More","3-6 hours before","About the same",""
"Professor","Male","Engineering",413,"South","Three months","50-75%","Yes","Heavy","Office","RS1","40-50",50,"Every 3-4 hours","Reply Once/Twice","Yes","NP3","NSF","< 10%","1-2 months","< 1 month","More","T1","Significantly more","Yes","3-4","B","50-75%","> 2 months","6-12 months","More","1 day before","About the same",""
"Assistant Professor","Male","Chemistry",469,"South","Three months","1-25%","Yes","Heavy","Home","RS2","> 50",50,"Every 3-4 hours","Reply instantly","Yes","NP3","NSF","< 10%","1-2 months","6-12 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
"Professor","Female","Psychology",510,"South","Three months","75-100%","Yes","Heavy","Office","RS2","> 50",40,"Other","Reply Once/Twice","Yes","NP1","NIH","50-75%","1-2 months","> 12 months","Significantly more","T1","Significantly more","No","","","","","","",NA,NA,"I just wish that the deadlines could be chosen to avoid convergence with intense academic periods. "
"Professor","Female","Mathematics",566,"Midwest","Two months","50-75%","No","Standard","Office","RS2","> 50",20,"Every 3-4 hours","Reply instantly","Yes","NP1","NSF","50-75%","1-2 months","1-3 months","Significantly more","T2","About the same","No","","","","","","",NA,NA,""
